0.040183,-0.1265,0.9833,0.1153,1.00
0.089268,-0.1182,0.9784,0.1314,0.99
0.140303,-0.1225,0.9720,0.1318,0.99
0.189203,-0.1377,0.9782,0.1206,1.00
0.240264,-0.1325,0.9899,0.1362,1.01
0.286264,-0.1281,0.9900,0.1383,1.01
0.339149,-0.1144,0.9911,0.1315,1.01
0.387498,-0.0928,0.9790,0.1419,0.99
0.439287,-0.0914,0.9864,0.1395,1.00
0.496476,-0.0687,0.9596,0.1503,0.97
0.544830,-0.0348,0.9895,0.1790,1.01
0.594592,-0.0760,1.0071,0.1890,1.03
0.639828,-0.1022,0.9972,0.1751,1.02
0.690918,-0.0784,0.9427,0.1984,0.97
0.740276,-0.0730,0.9368,0.2047,0.96
0.789065,-0.0606,0.9716,0.1943,0.99
0.839743,-0.0229,0.9656,0.1931,0.99
0.888726,-0.0129,0.9343,0.2165,0.96
0.941021,-0.0623,0.9385,0.1843,0.96
0.989893,-0.0860,0.9753,0.1897,1.00
1.038749,-0.0495,0.9896,0.2150,1.01
1.089913,-0.0309,1.0368,0.2525,1.07
1.138802,0.0007,1.1204,0.2556,1.15
1.190487,0.1186,1.1689,0.2300,1.20
1.240527,0.0057,1.1555,0.0577,1.16
1.290519,-0.1152,0.9445,-0.0399,0.95
1.339764,-0.1578,0.7811,-0.0919,0.80
1.398001,-0.1764,1.0198,-0.0068,1.03
1.447660,-0.0402,1.0375,-0.0042,1.04
1.498254,-0.0404,0.9321,0.0084,0.93
1.551002,-0.1569,0.9347,0.1163,0.95
1.597669,-0.0880,0.9349,0.1032,0.94
1.648178,-0.0693,0.9106,0.1842,0.93
1.698514,-0.1582,0.8858,0.2121,0.92
1.747716,-0.1439,1.0040,0.1987,1.03
1.798296,-0.2127,1.0589,0.2169,1.10
1.846993,-0.2114,1.1973,0.2323,1.24
1.893736,-0.1378,1.2877,0.2315,1.32
1.946622,-0.1412,1.0750,-0.2497,1.11
1.997251,-0.0105,0.8806,-0.1204,0.89
2.046505,-0.1543,0.9153,0.1186,0.94
2.098108,-0.3132,0.9633,-0.0439,1.01
2.146921,-0.1579,0.8465,-0.0296,0.86
2.196832,-0.0403,0.8944,0.0980,0.90
2.248990,-0.0568,0.9455,0.1010,0.95
2.296822,-0.0750,0.9450,0.1419,0.96
2.347208,-0.0728,0.9048,0.2456,0.94
2.397823,-0.0865,0.9668,0.2146,0.99
2.448590,-0.0088,1.0949,0.2032,1.11
2.498555,-0.0975,1.1867,0.2873,1.22
2.547856,-0.1245,1.1327,-0.0429,1.14
2.597928,-0.1253,1.0054,-0.1075,1.02
2.647142,-0.1307,0.9125,0.0476,0.92
2.706694,0.0045,0.9986,0.0472,1.00
2.756461,-0.1807,0.9421,0.0088,0.96
2.803582,-0.2016,0.9041,0.1148,0.93
2.855076,-0.1308,0.8982,0.1455,0.92
2.905733,-0.1607,0.9084,0.1815,0.94
2.954836,-0.1285,0.9106,0.1905,0.94
3.006182,-0.1089,0.9033,0.2067,0.93
3.054973,-0.1792,1.0271,0.1282,1.05
3.106823,-0.2392,1.1325,0.1859,1.17
3.155498,-0.1770,1.2177,0.2956,1.27
3.206635,-0.1925,1.1109,0.1301,1.13
3.254923,-0.1771,0.8786,-0.1032,0.90
3.306857,0.0219,0.8140,-0.1790,0.83
3.354910,0.0749,1.0308,0.1216,1.04
3.407687,-0.2125,1.1563,-0.0445,1.18
3.457008,-0.2584,0.8227,-0.0325,0.86
3.506167,-0.1308,0.7639,0.1600,0.79
3.556134,-0.0464,0.9239,0.1234,0.93
3.614237,-0.1191,1.0346,0.1151,1.05
3.656284,-0.1052,1.0026,0.1692,1.02
3.713225,-0.0461,1.1235,0.1762,1.14
3.763067,-0.1633,1.3175,0.1861,1.34
3.814490,-0.1065,1.1768,-0.1937,1.20
3.863661,-0.1051,0.8898,-0.2957,0.94
3.913099,-0.1191,0.9424,-0.0297,0.95
3.963889,0.0471,1.1168,-0.0011,1.12
4.013140,0.0537,0.8336,-0.0089,0.84
4.062913,-0.1508,0.6530,0.1080,0.68
4.113505,-0.2850,0.8737,0.1759,0.94
4.164904,-0.1841,0.9699,0.1499,1.00
4.214280,-0.1398,0.9902,0.1572,1.01
4.264481,-0.1157,0.9709,0.1554,0.99
4.312669,-0.2359,1.1482,0.1807,1.19
4.363767,-0.2231,1.3980,0.1884,1.43
4.414137,-0.0891,1.2166,-0.2095,1.24
4.463134,0.0356,0.8076,-0.1643,0.82
4.513396,-0.0725,0.8339,0.0706,0.84
4.563330,-0.3006,1.0423,-0.0273,1.09
4.613007,-0.1873,0.8570,-0.0249,0.88
4.663304,0.0187,0.7677,0.1573,0.78
4.713405,-0.0005,0.9363,0.0809,0.94
4.764077,-0.0468,0.9828,0.0803,0.99
4.813193,-0.1025,0.9040,0.1809,0.93
4.864793,-0.1467,1.0088,0.1387,1.03
4.914589,-0.1485,1.1616,0.1931,1.19
4.964714,-0.1221,1.2777,0.2208,1.30
5.013143,-0.0566,1.2452,-0.2266,1.27
5.063700,0.0076,0.9051,-0.2591,0.94
5.113790,-0.0706,0.9262,-0.0226,0.93
5.171508,0.0500,1.1247,-0.0132,1.13
5.221391,0.0549,0.8564,0.0015,0.86
5.270821,-0.2260,0.8366,0.1079,0.87
5.322977,-0.2320,0.9063,0.1760,0.95
5.371295,-0.1259,0.8981,0.1602,0.92
5.421261,-0.0497,0.8297,0.2053,0.86
5.465125,-0.0125,0.8758,0.2064,0.90
5.522453,-0.0981,0.9667,0.1516,0.98
5.572209,-0.1967,1.0057,0.2353,1.05
5.622570,-0.2862,1.3151,0.0407,1.35
5.666228,-0.0640,1.3866,-0.2240,1.41
5.721814,0.0589,0.8988,0.0886,0.91
5.770910,-0.1974,0.9944,0.1065,1.02
5.821370,-0.2925,1.0682,-0.0290,1.11
5.871773,-0.1331,0.7715,0.0581,0.79
5.921259,-0.0183,0.8082,0.1836,0.83
5.971119,-0.0950,0.9074,0.0552,0.91
6.022081,-0.1126,0.8886,0.1383,0.91
6.071172,-0.1761,0.8052,0.2076,0.85
6.121992,-0.1648,0.8020,0.1887,0.84
6.171282,-0.1271,0.9668,0.2484,1.01
6.221097,-0.1510,1.0932,0.2732,1.14
6.271608,-0.1049,1.0940,0.4151,1.17
6.321303,-0.0475,1.3290,0.0870,1.33
6.372147,-0.2467,1.4847,-0.7332,1.67
6.421616,-0.1111,0.9347,0.1767,0.96
6.472273,0.2337,0.9049,0.1198,0.94
6.521736,0.0081,0.8855,-0.1758,0.90
6.571533,-0.4121,0.9051,0.0701,1.00
6.622886,-0.2446,0.8615,0.2951,0.94
6.672844,-0.1440,0.8299,0.1997,0.87
6.723037,-0.1064,0.8759,0.2846,0.93
6.770733,-0.0859,1.1618,0.1615,1.18
6.822351,-0.2730,0.8230,0.2621,0.91
6.870969,-0.2882,0.8626,0.3666,0.98
6.921107,-0.3399,1.2714,-0.0551,1.32
6.971353,0.1085,1.2047,-0.2851,1.24
7.021008,-0.0558,0.7825,-0.0272,0.78
7.072011,-0.1403,1.0896,0.0206,1.10
7.121725,-0.0221,1.0459,-0.0601,1.05
7.172761,-0.1918,0.8314,0.1296,0.86
7.222047,-0.2370,0.9379,0.1224,0.98
7.280084,-0.1177,0.8918,0.2451,0.93
7.329147,-0.1536,1.0817,0.3810,1.16
7.379631,-0.1835,1.0881,0.4002,1.17
7.431909,-0.0510,0.8692,0.2022,0.89
7.479747,-0.0387,1.1766,0.1975,1.19
7.530233,-0.0244,1.1723,0.1347,1.18
7.580306,0.0266,1.4066,-0.4651,1.48
7.629659,-0.1677,1.2808,-0.2791,1.32
7.679619,-0.0336,1.0133,0.2664,1.05
7.729856,-0.0194,0.8495,0.0701,0.85
7.779903,-0.2270,0.7899,0.0286,0.82
7.829869,-0.1784,0.9175,0.1779,0.95
7.879650,-0.0905,0.8602,0.1837,0.88
7.929406,-0.0761,0.7720,0.1907,0.80
7.980004,-0.0510,0.8607,0.2313,0.89
8.030887,-0.1428,1.0072,0.0968,1.02
8.080694,-0.3482,1.1518,0.1593,1.21
8.129340,-0.3479,1.8547,-0.2794,1.91
8.180394,0.2103,1.0379,-0.2319,1.08
8.230298,-0.0107,0.6683,0.1033,0.68
8.279889,-0.3006,1.0972,0.0038,1.14
8.330903,-0.2578,0.9576,-0.1283,1.00
8.379721,0.0306,0.7429,0.1533,0.76
8.429655,-0.0121,0.8510,0.1253,0.86
8.479284,-0.0579,0.8908,0.1105,0.90
8.529454,-0.1441,0.9753,0.1903,1.00
8.579664,-0.0793,0.9869,0.2221,1.01
8.638785,0.0016,1.4622,-0.0665,1.46
8.687780,-0.2042,1.3626,-0.4458,1.45
8.737657,-0.1396,0.8245,-0.0754,0.84
8.788553,-0.0799,0.9345,-0.0367,0.94
8.838051,-0.0311,1.0767,-0.0790,1.08
8.883653,-0.0808,0.8468,0.0203,0.85
8.938247,-0.1829,0.7569,0.1400,0.79
8.990016,-0.1371,0.8236,0.1992,0.86
9.037573,-0.1142,0.8281,0.2116,0.86
9.087650,-0.1119,0.9031,0.2296,0.94
9.137269,-0.1592,0.8373,0.1699,0.87
9.187287,-0.2685,1.0476,0.3023,1.12
9.238116,-0.3443,1.5817,-0.0789,1.62
9.287459,-0.0104,1.3175,-0.4552,1.39
9.338381,0.0125,0.8891,0.0935,0.89
9.388149,-0.3356,1.0578,0.0818,1.11
9.438734,-0.2018,0.9719,-0.0868,1.00
9.487777,-0.1402,0.6025,0.1532,0.64
9.537735,0.0105,0.7529,0.1771,0.77
9.588219,-0.0143,0.9383,0.1350,0.95
9.638187,-0.0367,0.9281,0.1752,0.95
9.688567,-0.1807,0.9435,0.2917,1.00
9.738016,-0.0935,1.0481,0.2320,1.08
9.788293,-0.0687,1.4709,0.1408,1.48
9.838054,-0.1028,1.4502,-0.4342,1.52
9.888644,-0.2139,0.7940,-0.1957,0.85
9.938735,-0.0642,0.9685,0.0128,0.97
9.996620,0.1813,1.0339,-0.1068,1.06
10.039514,-0.0087,0.7581,-0.0298,0.76
10.097054,-0.3244,0.7398,0.1036,0.81
10.140186,-0.2398,0.8989,0.1881,0.95
10.196061,-0.1803,0.9695,0.2050,1.01
10.246548,-0.0644,0.8903,0.2407,0.92
10.296302,-0.0153,0.9355,0.1906,0.95
10.346825,-0.2551,0.9827,0.1826,1.03
10.396842,-0.3008,1.3322,0.2138,1.38
10.446505,-0.2497,1.2958,-0.3680,1.37
10.495845,-0.0303,1.1511,-0.3221,1.20
10.545761,-0.1212,0.9845,0.1514,1.00
10.596607,-0.4269,0.9978,0.0374,1.09
10.645966,-0.2172,0.7509,-0.0940,0.79
10.695613,0.0823,0.6341,0.1605,0.66
10.745521,0.0107,0.8594,0.1450,0.87
10.795605,0.0037,0.9563,0.0952,0.96
10.845911,-0.0930,1.0607,0.1828,1.08
10.895562,-0.1906,1.0236,0.2677,1.08
10.946075,-0.0650,1.2372,0.1542,1.25
10.995644,-0.1733,1.5590,-0.2533,1.59
11.045777,-0.1829,0.9685,-0.2784,1.02
11.095924,-0.1373,0.7981,-0.1160,0.82
11.146328,-0.0379,1.0099,-0.0994,1.02
11.196222,0.1206,0.9650,-0.0316,0.97
11.246936,-0.1602,0.7508,0.0538,0.77
11.295850,-0.2793,0.8330,0.1499,0.89
11.346505,-0.1440,0.8844,0.2200,0.92
11.395946,-0.1047,0.8565,0.2143,0.89
11.446698,-0.1114,0.8543,0.1704,0.88
11.495915,-0.2400,0.9096,0.2540,0.97
11.548219,-0.3429,1.2720,0.2697,1.34
11.596013,-0.2132,1.5934,-0.2027,1.62
11.646523,0.0472,0.9195,-0.3105,0.97
11.696977,-0.0505,0.7011,0.1120,0.71
11.754261,-0.3857,1.2415,-0.0186,1.30
11.804043,-0.0597,0.9899,-0.1168,1.00
11.854097,-0.0534,0.6713,0.1835,0.70
11.904134,-0.1422,0.8055,0.1357,0.83
11.948774,-0.0761,0.9036,0.1362,0.92
12.004016,0.0089,1.0323,0.1840,1.05
12.054851,-0.0697,1.0043,0.2481,1.04
12.104691,-0.2183,1.1224,0.3338,1.19
12.155320,-0.1353,1.1454,0.0029,1.15
12.205085,-0.1276,1.1728,-0.6871,1.37
12.253685,-0.3449,1.1276,-0.2047,1.20
12.303976,0.0542,1.0444,0.1864,1.06
12.355124,0.0612,0.9550,-0.0692,0.96
12.405085,-0.1920,0.6972,0.0152,0.72
12.454498,-0.1839,0.7445,0.2209,0.80
12.504586,-0.2460,0.8799,0.1826,0.93
12.551536,-0.1234,0.8744,0.2108,0.91
12.603993,-0.0223,0.9538,0.2072,0.98
12.653776,-0.1076,0.9429,0.1226,0.96
12.704917,-0.2452,1.1840,0.3471,1.26
12.754562,-0.2577,1.2441,0.2512,1.30
12.804474,-0.1725,1.3279,-0.5335,1.44
12.855241,0.0073,1.1085,-0.1239,1.12
12.903372,-0.2721,0.9066,0.1679,0.96
12.954336,-0.2221,0.8688,-0.0148,0.90
13.003637,-0.1668,0.6622,0.0153,0.68
13.057209,-0.0126,0.8283,0.1784,0.85
13.104082,-0.0271,1.0223,0.1095,1.03
13.156702,-0.0145,0.9647,0.1190,0.97
13.204471,-0.0820,0.9624,0.2277,0.99
13.260978,-0.0300,0.9229,0.2153,0.95
13.304853,-0.0510,1.2225,0.3181,1.26
13.362547,-0.1805,1.3767,-0.0640,1.39
13.412509,-0.0362,1.1218,-0.4720,1.22
13.463006,-0.1376,0.9703,-0.1897,1.00
13.512291,-0.0223,1.0621,-0.0083,1.06
13.562574,0.1616,1.0312,-0.0299,1.04
13.613437,-0.0406,0.6873,0.0725,0.69
13.662046,-0.2621,0.7427,0.1837,0.81
13.712447,-0.2748,0.8731,0.2125,0.94
13.762236,-0.1839,0.8731,0.1743,0.91
13.812283,-0.0723,0.8424,0.2399,0.88
13.862047,-0.0845,0.9300,0.1237,0.94
13.912173,-0.1235,1.0949,0.2003,1.12
13.962282,-0.2406,1.3760,0.2418,1.42
14.012855,-0.4096,1.5483,-0.2645,1.62
14.059315,0.0157,0.9767,-0.1621,0.99
14.111958,-0.1405,0.7263,0.0178,0.74
14.162757,-0.3272,1.0113,-0.0189,1.06
14.211573,-0.1890,0.8839,-0.0379,0.90
14.262306,0.0231,0.7055,0.2043,0.73
14.312915,-0.0977,0.9845,0.1243,1.00
14.362132,-0.0548,0.9482,0.0610,0.95
14.413741,-0.0845,0.8410,0.2149,0.87
