2.465634,-0.786,-0.3402,0.6093,1.05,normal
2.515647,-1.0611,-0.3785,0.2284,1.15,normal
2.56627,-1.0573,-0.285,0.4664,1.19,normal
2.615022,-1.1476,-0.3368,0.3645,1.25,normal
2.668716,-1.0269,-0.1444,0.3362,1.09,normal
2.716175,-1.3562,0.0487,0.014,1.36,normal
2.769858,-1.0039,-0.1031,0.119,1.02,normal
2.815851,-0.6458,-0.3412,0.0187,0.73,normal
2.87003,-0.6893,-0.3991,-0.257,0.84,normal
2.922601,-1.0099,-0.0613,-0.0067,1.01,normal
2.974007,-0.9423,-0.1582,0.0436,0.96,normal
3.023204,-1.1324,-0.1252,-0.0899,1.14,normal
3.073352,-0.876,-0.1316,0.0321,0.89,normal
3.124107,-0.8475,-0.3493,-0.2522,0.95,normal
3.174904,-0.8068,-0.3442,-0.0982,0.88,normal
3.223654,-0.9065,0.0043,0.0843,0.91,normal
3.27324,-1.2209,0.0065,-0.0577,1.22,normal
3.323984,-0.9965,-0.0847,-0.0013,1,normal
3.37313,-1.3331,0.0102,0.1106,1.34,normal
3.422946,-1.3114,-0.1893,0.0732,1.33,normal
3.475138,-0.7056,-0.6629,0.4697,1.08,normal
3.524565,-0.7125,-0.4997,0.6257,1.07,normal
3.57734,-1.8729,-0.2005,-0.6963,2.01,normal
3.622975,-1.1959,0.2978,0.5732,1.36,normal
3.674098,-1.0419,-0.0364,0.582,1.19,normal
3.722746,-0.2917,-0.2476,0.5284,0.65,normal
3.772745,-0.3801,-0.1568,0.1331,0.43,normal
3.823007,-0.0566,-0.0018,0.2648,0.27,normal
3.873959,-0.8916,-0.0101,0.3414,0.95,normal
3.924131,-5.4297,-0.3283,0.923,5.52,normal
3.97406,-1.4181,-0.9635,0.2462,1.73,normal
4.023861,-0.9707,-1.5663,0.4438,1.9,normal
4.077939,-0.4152,-1.0789,0.203,1.17,normal
4.124894,-0.718,-0.6824,-0.229,1.02,normal
4.175078,-0.7865,-0.4222,-0.1443,0.9,normal
4.224726,-0.7118,-0.6269,-0.077,0.95,normal
4.274772,-0.8631,-0.4231,0.099,0.97,normal
4.324585,-0.5317,-0.7258,-0.0848,0.9,normal
4.384022,-0.6433,-0.6388,-0.1013,0.91,normal
4.422638,-0.6267,-0.6248,-0.1304,0.89,normal
4.473223,-0.5621,-0.4165,0.0117,0.7,normal
4.523386,-0.7883,-0.6658,-0.2627,1.06,normal
4.575247,-0.6857,-0.8388,-0.3598,1.14,normal
4.623901,-1.2148,-1.301,1.4778,2.31,normal
4.682727,-0.8485,-1.3631,-0.5566,1.7,normal
4.724125,-0.1954,-1.4066,-0.2925,1.45,normal
4.774961,-0.2473,-0.7623,0.0539,0.8,normal
4.824962,-0.3792,-0.8513,0.1289,0.94,normal
4.883448,-0.5048,-0.5873,0.0937,0.78,normal
4.93272,-0.4324,-0.4802,0.1368,0.66,normal
4.981253,-0.5779,-0.4977,0.1648,0.78,normal
5.031156,-0.6511,-0.4877,0.3906,0.9,normal
5.081259,-0.9813,-0.7205,0.5525,1.34,normal
5.131291,-1.0036,-0.703,0.3939,1.29,normal
5.182553,-0.7006,-0.8009,-0.1549,1.08,normal
5.231576,-0.2861,-1.0351,0.2453,1.1,normal
5.285736,-0.5574,-0.8991,-0.0176,1.06,normal
5.330903,-0.5399,-0.8827,-0.0389,1.04,normal
5.382719,-0.4353,-0.8749,-0.0482,0.98,normal
5.431682,-0.4745,-0.5299,-0.1248,0.72,normal
5.48125,-0.1011,-0.3277,0.0091,0.34,normal
5.531228,-0.0946,-0.5988,-0.2743,0.67,normal
5.582499,-0.1856,-0.807,-0.1712,0.85,normal
5.631777,-0.385,-1.7157,0.5634,1.85,normal
5.685377,-0.5945,-1.4231,0.03,1.54,normal
5.733133,-0.6279,-1.2593,0.2784,1.43,normal
5.78645,-0.3785,-1.2786,0.215,1.35,normal
5.83062,-0.1034,-1.2175,-0.0947,1.23,normal
5.881279,-0.1187,-1.0696,-0.0692,1.08,normal
5.930722,-0.3279,-0.7481,0.2226,0.85,normal
5.983497,-0.4124,-0.7133,0.0942,0.83,normal
6.031909,-0.4872,-0.503,0.0562,0.7,normal
6.084154,-0.3441,-0.5737,0.0848,0.67,normal
6.131645,-0.2625,-0.6491,0.1554,0.72,normal
6.18299,-0.7838,-0.8726,0.5855,1.31,normal
6.232365,-1.3384,-0.9518,0.4094,1.69,normal
6.286511,-0.4139,-1.089,0.0425,1.17,normal
6.332817,-0.2196,-1.6194,-0.0314,1.63,normal
6.39029,-0.0521,-0.771,-0.0778,0.78,normal
6.440055,-0.1889,-0.7232,-0.0352,0.75,normal
6.489926,-0.3869,-0.9995,-0.0934,1.08,normal
6.539459,-0.559,-0.7858,-0.1814,0.98,normal
6.590224,-0.4503,-0.7674,-0.0912,0.89,normal
6.63907,-0.4208,-0.8677,-0.0144,0.96,normal
6.685642,-0.4087,-1.0191,0.1644,1.11,normal
6.740365,-0.6193,-1.0343,0.2714,1.24,normal
6.790073,-0.8888,-0.8101,0.3109,1.24,normal
