time,gFx,gFy,gFz,TgF
6.131645,-0.2625,-0.6491,0.1554,0.72
6.182990,-0.7838,-0.8726,0.5855,1.31
6.232365,-1.3384,-0.9518,0.4094,1.69
6.286511,-0.4139,-1.0890,0.0425,1.17
6.332817,-0.2196,-1.6194,-0.0314,1.63
6.390290,-0.0521,-0.7710,-0.0778,0.78
6.440055,-0.1889,-0.7232,-0.0352,0.75
6.489926,-0.3869,-0.9995,-0.0934,1.08
6.539459,-0.5590,-0.7858,-0.1814,0.98
6.590224,-0.4503,-0.7674,-0.0912,0.89
6.639070,-0.4208,-0.8677,-0.0144,0.96
6.685642,-0.4087,-1.0191,0.1644,1.11
6.740365,-0.6193,-1.0343,0.2714,1.24
6.790073,-0.8888,-0.8101,0.3109,1.24
6.840943,-0.9355,-1.0902,0.2734,1.46
6.895903,-0.4055,-1.0314,0.0507,1.11
6.939438,-0.3977,-1.2838,-0.2579,1.37
6.989271,-0.3363,-1.2782,-0.1373,1.33
7.039408,-0.4681,-0.7557,0.5751,1.06
7.089698,-0.2845,-0.8405,0.0975,0.89
7.139411,-0.1239,-0.6769,-0.2169,0.72
7.190463,-0.1832,-0.5484,-0.1191,0.59
7.239355,-0.3844,-0.7543,0.4753,0.97
7.290868,-1.4199,-0.8589,0.8395,1.86
7.340124,-0.6351,-0.5349,0.1085,0.84
7.391098,-0.4400,-1.5964,-0.1082,1.66
7.448670,-0.0875,-0.8977,0.0208,0.90
7.493858,-0.2516,-0.7114,0.0121,0.75
7.548341,-0.4619,-0.7520,0.0590,0.88
7.593182,-0.5936,-0.9385,-0.0820,1.11
7.647879,-0.3547,-0.6475,-0.2385,0.78
7.697768,-0.4404,-0.8669,-0.0121,0.97
7.747507,-0.3485,-0.9510,0.0613,1.01
7.791640,-0.4483,-1.0351,0.2508,1.16
7.848439,-0.8844,-1.0433,0.1770,1.38
7.899162,-1.0786,-0.9046,0.2600,1.43
7.947897,-0.5306,-1.0075,0.2469,1.17
7.997025,-0.3629,-0.8867,-0.0867,0.96
8.048970,-0.4181,-1.1949,-0.1610,1.28
8.097701,-0.4934,-1.1437,0.2455,1.27
8.148712,-0.4770,-0.8401,0.4316,1.06
8.198546,-0.2385,-0.8034,-0.0541,0.84
8.248179,-0.1852,-0.5323,-0.1834,0.59
8.297601,-0.1890,-0.5797,-0.0471,0.61
8.348670,-0.3026,-0.9198,0.5326,1.11
8.403128,-1.4514,-0.8862,0.5240,1.78
8.447712,-0.5996,-0.5135,0.1046,0.80
8.499742,-0.5489,-1.7993,-0.0297,1.88
8.547545,0.1345,-0.8025,0.3358,0.88
8.597455,-0.2626,-0.8671,0.0200,0.91
8.648111,-0.3996,-0.7767,0.0385,0.87
8.697355,-0.4800,-0.8910,-0.1745,1.03
8.747897,-0.3697,-0.7355,-0.2348,0.86
8.802367,-0.4483,-0.8421,-0.0218,0.95
8.856478,-0.5516,-0.8998,0.0795,1.06
8.900550,-0.6331,-0.9610,0.2321,1.17
8.956196,-0.7793,-0.9356,0.2487,1.24
8.999617,-0.8405,-0.8506,0.2247,1.22
9.056762,-0.6558,-1.1609,0.1943,1.35
9.106505,-0.3775,-0.8924,-0.0576,0.97
9.157430,-0.3659,-1.1119,-0.1792,1.18
9.201645,-0.4623,-1.1315,0.0004,1.22
9.255820,-0.6695,-0.6659,0.5295,1.08
9.306591,-0.4419,-0.8531,-0.0316,0.96
9.357222,-0.2339,-0.8918,-0.3755,1.00
9.406608,-0.0269,-0.7311,-0.1622,0.75
9.455675,0.0995,-0.7943,0.2331,0.83
9.506228,-0.9973,-0.9858,1.0939,1.78
9.556538,-1.1714,-0.6630,0.0606,1.35
9.602435,-0.7163,-1.3481,0.1075,1.53
9.656141,-0.1428,-0.9516,0.0571,0.96
9.708646,-0.1934,-0.6539,0.0291,0.68
9.756703,-0.3773,-0.9347,-0.0090,1.01
9.805519,-0.3404,-0.9395,-0.1751,1.01
9.856655,-0.3762,-0.7188,-0.1967,0.83
9.906171,-0.4703,-0.7097,-0.0808,0.86
9.956121,-0.5175,-0.8730,-0.0045,1.01
10.009172,-0.4500,-1.0140,0.2875,1.15
10.056441,-0.7210,-0.9638,0.2485,1.23
10.106653,-0.8147,-0.8980,0.1973,1.23
10.155854,-0.8429,-1.0962,0.1282,1.39
10.213657,-0.3635,-0.9481,-0.0217,1.02
10.256124,-0.3358,-1.2090,-0.2024,1.27
