
time,ax,ay,az,wx,wy,wz,
0.024908,0.0000,0.0000,0.0000,-0.0254,-0.0965,-0.0643,
0.025167,0.0000,0.0000,0.0000,-0.0254,-0.0965,-0.0643,
0.034107,0.0000,0.0000,0.0000,-0.0385,-0.2757,-0.0516,
0.080450,0.0000,0.0000,0.0000,-0.0385,-0.2757,-0.0516,
0.099657,0.0000,0.0000,0.0000,-0.0086,-0.2885,-0.0681,
0.145276,0.0000,0.0000,0.0000,-0.0086,-0.2885,-0.0681,
0.165452,0.0000,0.0000,0.0000,-0.0102,-0.2995,-0.0124,
0.210681,0.0000,0.0000,0.0000,-0.0102,-0.2995,-0.0124,
0.230812,0.0000,0.0000,0.0000,0.0672,-0.2349,-0.0052,
0.276845,0.0000,0.0000,0.0000,0.0672,-0.2349,-0.0052,
0.297096,0.0000,0.0000,0.0000,-0.0852,-0.1883,0.1103,
0.362216,0.0000,0.0000,0.0000,0.4650,0.2866,-0.2443,
0.375842,0.0000,0.0000,0.0000,0.4650,0.2866,-0.2443,
0.391113,0.0000,0.0000,0.0000,0.4650,0.2866,-0.2443,
0.427758,0.0000,0.0000,0.0000,1.0434,0.8033,-0.2686,
0.456268,0.0000,0.0000,0.0000,1.0434,0.8033,-0.2686,
0.456921,-0.4669,1.4564,-0.8173,1.0434,0.8033,-0.2686,
0.493376,-0.4669,1.4564,-0.8173,0.6008,0.9603,-0.7631,
0.522652,-0.4669,1.4564,-0.8173,0.6008,0.9603,-0.7631,
0.523147,-1.3308,-0.4016,-0.6564,0.6008,0.9603,-0.7631,
0.558218,-1.3308,-0.4016,-0.6564,-0.5615,-0.2407,-0.6380,
0.587480,-1.3308,-0.4016,-0.6564,-0.5615,-0.2407,-0.6380,
0.588674,-0.9388,0.4350,1.2945,-0.5615,-0.2407,-0.6380,
0.625408,-0.9388,0.4350,1.2945,-0.4794,-0.5964,0.0221,
0.652826,-0.9388,0.4350,1.2945,-0.4794,-0.5964,0.0221,
0.653586,0.5916,-0.4230,0.7751,-0.4794,-0.5964,0.0221,
0.689666,0.5916,-0.4230,0.7751,0.2062,-0.0032,-0.2981,
0.718736,0.5916,-0.4230,0.7751,0.2062,-0.0032,-0.2981,
0.719562,-0.2945,-1.3388,0.0965,0.2062,-0.0032,-0.2981,
0.754764,-0.2945,-1.3388,0.0965,-0.1907,0.2492,-0.0597,
0.784389,-0.2945,-1.3388,0.0965,-0.1907,0.2492,-0.0597,
0.785461,-0.9318,-0.3109,-1.0136,-0.1907,0.2492,-0.0597,
0.819947,-0.9318,-0.3109,-1.0136,-1.6579,0.2866,0.0122,
0.849148,-0.9318,-0.3109,-1.0136,-1.6579,0.2866,0.0122,
0.850842,-2.7655,0.4394,4.3300,-1.6579,0.2866,0.0122,
0.886619,-2.7655,0.4394,4.3300,-0.4177,0.1868,-0.0440,
0.914882,-2.7655,0.4394,4.3300,-0.4177,0.1868,-0.0440,
0.916051,-1.6826,1.8289,-1.8657,-0.4177,0.1868,-0.0440,
0.952244,-1.6826,1.8289,-1.8657,0.3448,-0.2972,0.7909,
0.981012,-1.6826,1.8289,-1.8657,0.3448,-0.2972,0.7909,
0.982465,2.1961,-1.2040,-1.2585,0.3448,-0.2972,0.7909,
1.017041,2.1961,-1.2040,-1.2585,0.8717,-0.1342,0.4581,
1.045628,2.1961,-1.2040,-1.2585,0.8717,-0.1342,0.4581,
1.046027,1.0077,-0.1710,-2.2800,0.8717,-0.1342,0.4581,
1.081901,1.0077,-0.1710,-2.2800,0.7914,0.2732,0.6240,
1.110466,1.0077,-0.1710,-2.2800,0.7914,0.2732,0.6240,
1.110824,0.1840,-0.4746,-1.4759,0.7914,0.2732,0.6240,
1.147142,0.1840,-0.4746,-1.4759,0.3922,-0.0785,0.3745,
1.176057,0.1840,-0.4746,-1.4759,0.3922,-0.0785,0.3745,
1.176489,0.0453,-0.1036,-0.7720,0.3922,-0.0785,0.3745,
1.213148,0.0453,-0.1036,-0.7720,0.3590,-0.1707,0.2457,
1.241442,0.0453,-0.1036,-0.7720,0.3590,-0.1707,0.2457,
1.241855,0.1800,-0.2919,-0.8604,0.3590,-0.1707,0.2457,
1.277961,0.1800,-0.2919,-0.8604,0.3071,-0.2598,-0.0593,
1.306913,0.1800,-0.2919,-0.8604,0.3071,-0.2598,-0.0593,
1.307329,0.6453,-0.2543,-0.7643,0.3071,-0.2598,-0.0593,
1.343289,0.6453,-0.2543,-0.7643,0.2816,-0.3580,-0.2975,
1.372569,0.6453,-0.2543,-0.7643,0.2816,-0.3580,-0.2975,
1.373065,1.7897,0.0386,-0.2582,0.2816,-0.3580,-0.2975,
1.408755,1.7897,0.0386,-0.2582,0.3341,-0.1381,-0.1933,
1.437725,1.7897,0.0386,-0.2582,0.3341,-0.1381,-0.1933,
1.438093,1.1487,0.8252,0.8216,0.3341,-0.1381,-0.1933,
1.474459,1.1487,0.8252,0.8216,0.2408,-0.3346,0.2427,
1.503877,1.1487,0.8252,0.8216,0.2408,-0.3346,0.2427,
1.504336,0.8490,3.1750,-2.0002,0.2408,-0.3346,0.2427,
1.540374,0.8490,3.1750,-2.0002,-0.3016,-0.2564,0.4230,
1.569483,0.8490,3.1750,-2.0002,-0.3016,-0.2564,0.4230,
1.570822,-2.9779,-1.1458,-2.9809,-0.3016,-0.2564,0.4230,
1.606487,-2.9779,-1.1458,-2.9809,-0.8482,-0.2673,0.0037,
1.635417,-2.9779,-1.1458,-2.9809,-0.8482,-0.2673,0.0037,
1.636142,-0.2543,1.3452,-1.0798,-0.8482,-0.2673,0.0037,
1.671702,-0.2543,1.3452,-1.0798,-0.8021,0.6361,-0.2607,
1.700245,-0.2543,1.3452,-1.0798,-0.8021,0.6361,-0.2607,
1.701338,-0.5960,-0.3172,-1.0199,-0.8021,0.6361,-0.2607,
1.737294,-0.5960,-0.3172,-1.0199,-0.7613,0.7017,-0.1830,
1.765813,-0.5960,-0.3172,-1.0199,-0.7613,0.7017,-0.1830,
1.767839,-1.5439,-1.7469,-0.6796,-0.7613,0.7017,-0.1830,
1.801881,-1.5439,-1.7469,-0.6796,-0.4256,0.7379,-0.1649,
1.831927,-1.5439,-1.7469,-0.6796,-0.4256,0.7379,-0.1649,
1.832963,-0.5115,-0.9749,-0.4189,-0.4256,0.7379,-0.1649,
1.869614,-0.5115,-0.9749,-0.4189,-0.3088,0.5680,0.0220,
1.896959,-0.5115,-0.9749,-0.4189,-0.3088,0.5680,0.0220,
1.898078,-0.5446,-1.7156,-0.4186,-0.3088,0.5680,0.0220,
1.933461,-0.5446,-1.7156,-0.4186,0.0612,0.4244,0.1176,
1.962807,-0.5446,-1.7156,-0.4186,0.0612,0.4244,0.1176,
1.964096,-1.0655,-0.4283,0.8041,0.0612,0.4244,0.1176,
1.998849,-1.0655,-0.4283,0.8041,0.0052,0.4998,0.1034,
2.028491,-1.0655,-0.4283,0.8041,0.0052,0.4998,0.1034,
2.029573,-0.3225,1.1806,1.9638,0.0052,0.4998,0.1034,
2.064780,-0.3225,1.1806,1.9638,-0.2201,0.6700,0.0997,
2.093043,-0.3225,1.1806,1.9638,-0.2201,0.6700,0.0997,
2.094753,-1.3739,2.1582,0.4837,-0.2201,0.6700,0.0997,
2.129854,-1.3739,2.1582,0.4837,-0.1242,-0.4446,-0.6625,
2.159396,-1.3739,2.1582,0.4837,-0.1242,-0.4446,-0.6625,
2.161421,-2.9681,0.0571,-2.8298,-0.1242,-0.4446,-0.6625,
2.196037,-2.9681,0.0571,-2.8298,0.4499,0.5770,0.3848,
2.224669,-2.9681,0.0571,-2.8298,0.4499,0.5770,0.3848,
2.227327,2.7649,-0.5957,-4.1812,0.4499,0.5770,0.3848,
2.260926,2.7649,-0.5957,-4.1812,0.6712,-0.3462,-0.0038,
2.289125,2.7649,-0.5957,-4.1812,0.6712,-0.3462,-0.0038,
2.290801,-2.9993,-2.1131,-1.1911,0.6712,-0.3462,-0.0038,
